issue_year,volume,issue,article_id,article_url,doi,title,publication_date,online_date,supplementary_id,supplementary_label,category,is_code,code_reason,asset_url,original_file_name,file_name,relative_path,file_path,bytes,sha256,status,error
2022,4,1,s42256-021-00422-y,https://www.nature.com/articles/s42256-021-00422-y,10.1038/s42256-021-00422-y,Optimizing molecules using efficient queries from property evaluations,2022/01,2021/12/30,,Supplementary Information (download PDF ),supplementary_information,False,supplementary information,https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-021-00422-y/MediaObjects/42256_2021_422_MOESM1_ESM.pdf,42256_2021_422_MOESM1_ESM.pdf,01_supplementary_information_Supplementary_Information_download_PDF_42256_2021_422_MOESM1_ESM_pdf.pdf,2022/s42256-021-00422-y/01_supplementary_information_Supplementary_Information_download_PDF_42256_2021_422_MOESM1_ESM_pdf.pdf,/Users/mccomb/Library/Caches/Codex/NMI_supplementary_materials_2022_2025/downloads/2022/s42256-021-00422-y/01_supplementary_information_Supplementary_Information_download_PDF_42256_2021_422_MOESM1_ESM_pdf.pdf,3630304,6b9505bc87f588e818ca9e2fb74b414eb0b72200cf98f67577f4ad90e531e844,already_exists,
2022,4,1,s42256-021-00425-9,https://www.nature.com/articles/s42256-021-00425-9,10.1038/s42256-021-00425-9,Generalized radiograph representation learning via cross-supervision between images and free-text radiology reports,2022/01,2022/01/20,,Reporting Summary (download PDF ),reporting_summary,False,reporting summary,https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-021-00425-9/MediaObjects/42256_2021_425_MOESM1_ESM.pdf,42256_2021_425_MOESM1_ESM.pdf,01_reporting_summary_Reporting_Summary_download_PDF_42256_2021_425_MOESM1_ESM_pdf.pdf,2022/s42256-021-00425-9/01_reporting_summary_Reporting_Summary_download_PDF_42256_2021_425_MOESM1_ESM_pdf.pdf,/Users/mccomb/Library/Caches/Codex/NMI_supplementary_materials_2022_2025/downloads/2022/s42256-021-00425-9/01_reporting_summary_Reporting_Summary_download_PDF_42256_2021_425_MOESM1_ESM_pdf.pdf,1024765,dbc7b08639c2f862f643aa33f20c3b80b441bffe943f142a867a3646998c4f7f,already_exists,
2022,4,1,s42256-021-00427-7,https://www.nature.com/articles/s42256-021-00427-7,10.1038/s42256-021-00427-7,Predicting myocardial infarction through retinal scans and minimal personal information,2022/01,2022/01/25,,Supplementary Information (download PDF ),supplementary_information,False,supplementary information,https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-021-00427-7/MediaObjects/42256_2021_427_MOESM1_ESM.pdf,42256_2021_427_MOESM1_ESM.pdf,01_supplementary_information_Supplementary_Information_download_PDF_42256_2021_427_MOESM1_ESM_pdf.pdf,2022/s42256-021-00427-7/01_supplementary_information_Supplementary_Information_download_PDF_42256_2021_427_MOESM1_ESM_pdf.pdf,/Users/mccomb/Library/Caches/Codex/NMI_supplementary_materials_2022_2025/downloads/2022/s42256-021-00427-7/01_supplementary_information_Supplementary_Information_download_PDF_42256_2021_427_MOESM1_ESM_pdf.pdf,3014545,ca9eda994d79bd0029b4f527697339b8b9db0e2b6f7ae36ecb3589c2d895b71f,already_exists,
2022,4,1,s42256-021-00428-6,https://www.nature.com/articles/s42256-021-00428-6,10.1038/s42256-021-00428-6,Interpreting neural networks for biological sequences by learning stochastic masks,2022/01,2022/01/25,,Supplementary Information (download PDF ),supplementary_information,False,supplementary information,https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-021-00428-6/MediaObjects/42256_2021_428_MOESM1_ESM.pdf,42256_2021_428_MOESM1_ESM.pdf,01_supplementary_information_Supplementary_Information_download_PDF_42256_2021_428_MOESM1_ESM_pdf.pdf,2022/s42256-021-00428-6/01_supplementary_information_Supplementary_Information_download_PDF_42256_2021_428_MOESM1_ESM_pdf.pdf,/Users/mccomb/Library/Caches/Codex/NMI_supplementary_materials_2022_2025/downloads/2022/s42256-021-00428-6/01_supplementary_information_Supplementary_Information_download_PDF_42256_2021_428_MOESM1_ESM_pdf.pdf,550072,48979f4671f276c836cfa614d9bc4ff64f27e8640104f547b4ad044a44c3aa9b,already_exists,
2022,4,1,s42256-021-00428-6,https://www.nature.com/articles/s42256-021-00428-6,10.1038/s42256-021-00428-6,Interpreting neural networks for biological sequences by learning stochastic masks,2022/01,2022/01/25,,Reporting summary (download PDF ),reporting_summary,False,reporting summary,https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-021-00428-6/MediaObjects/42256_2021_428_MOESM2_ESM.pdf,42256_2021_428_MOESM2_ESM.pdf,02_reporting_summary_Reporting_summary_download_PDF_42256_2021_428_MOESM2_ESM_pdf.pdf,2022/s42256-021-00428-6/02_reporting_summary_Reporting_summary_download_PDF_42256_2021_428_MOESM2_ESM_pdf.pdf,/Users/mccomb/Library/Caches/Codex/NMI_supplementary_materials_2022_2025/downloads/2022/s42256-021-00428-6/02_reporting_summary_Reporting_summary_download_PDF_42256_2021_428_MOESM2_ESM_pdf.pdf,1001047,1ff17c642c8c7612d0b1633b40675aa3ae6b71b1acf1460a85dc9f9d50b63174,already_exists,
2022,4,1,s42256-021-00430-y,https://www.nature.com/articles/s42256-021-00430-y,10.1038/s42256-021-00430-y,Neurons learn by predicting future activity,2022/01,2022/01/25,,Supplementary Information (download PDF ),supplementary_information,False,supplementary information,https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-021-00430-y/MediaObjects/42256_2021_430_MOESM1_ESM.pdf,42256_2021_430_MOESM1_ESM.pdf,01_supplementary_information_Supplementary_Information_download_PDF_42256_2021_430_MOESM1_ESM_pdf.pdf,2022/s42256-021-00430-y/01_supplementary_information_Supplementary_Information_download_PDF_42256_2021_430_MOESM1_ESM_pdf.pdf,/Users/mccomb/Library/Caches/Codex/NMI_supplementary_materials_2022_2025/downloads/2022/s42256-021-00430-y/01_supplementary_information_Supplementary_Information_download_PDF_42256_2021_430_MOESM1_ESM_pdf.pdf,671820,f9ac12fd432bb08e3b68285b3a89abdeba19866df34442c3293f6123b8106442,already_exists,
2022,4,1,s42256-021-00430-y,https://www.nature.com/articles/s42256-021-00430-y,10.1038/s42256-021-00430-y,Neurons learn by predicting future activity,2022/01,2022/01/25,,Reporting Summary (download PDF ),reporting_summary,False,reporting summary,https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-021-00430-y/MediaObjects/42256_2021_430_MOESM2_ESM.pdf,42256_2021_430_MOESM2_ESM.pdf,02_reporting_summary_Reporting_Summary_download_PDF_42256_2021_430_MOESM2_ESM_pdf.pdf,2022/s42256-021-00430-y/02_reporting_summary_Reporting_Summary_download_PDF_42256_2021_430_MOESM2_ESM_pdf.pdf,/Users/mccomb/Library/Caches/Codex/NMI_supplementary_materials_2022_2025/downloads/2022/s42256-021-00430-y/02_reporting_summary_Reporting_Summary_download_PDF_42256_2021_430_MOESM2_ESM_pdf.pdf,68870,97f1c33c4036e7e3b564e7051a156ad760dfc82a789f012e3a7f845a71c884d2,already_exists,
2022,4,1,s42256-021-00431-x,https://www.nature.com/articles/s42256-021-00431-x,10.1038/s42256-021-00431-x,Hierarchical deep reinforcement learning reveals a modular mechanism of cell movement,2022/01,2022/01/10,,Supplementary Information (download PDF ),supplementary_information,False,supplementary information,https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-021-00431-x/MediaObjects/42256_2021_431_MOESM1_ESM.pdf,42256_2021_431_MOESM1_ESM.pdf,01_supplementary_information_Supplementary_Information_download_PDF_42256_2021_431_MOESM1_ESM_pdf.pdf,2022/s42256-021-00431-x/01_supplementary_information_Supplementary_Information_download_PDF_42256_2021_431_MOESM1_ESM_pdf.pdf,/Users/mccomb/Library/Caches/Codex/NMI_supplementary_materials_2022_2025/downloads/2022/s42256-021-00431-x/01_supplementary_information_Supplementary_Information_download_PDF_42256_2021_431_MOESM1_ESM_pdf.pdf,2018076,d162899ea1c5b9af306053ca2428c46ab9d40c2daa95c6c4b9b173881d8de456,already_exists,
2022,4,1,s42256-021-00431-x,https://www.nature.com/articles/s42256-021-00431-x,10.1038/s42256-021-00431-x,Hierarchical deep reinforcement learning reveals a modular mechanism of cell movement,2022/01,2022/01/10,,Reporting Summary (download PDF ),reporting_summary,False,reporting summary,https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-021-00431-x/MediaObjects/42256_2021_431_MOESM2_ESM.pdf,42256_2021_431_MOESM2_ESM.pdf,02_reporting_summary_Reporting_Summary_download_PDF_42256_2021_431_MOESM2_ESM_pdf.pdf,2022/s42256-021-00431-x/02_reporting_summary_Reporting_Summary_download_PDF_42256_2021_431_MOESM2_ESM_pdf.pdf,/Users/mccomb/Library/Caches/Codex/NMI_supplementary_materials_2022_2025/downloads/2022/s42256-021-00431-x/02_reporting_summary_Reporting_Summary_download_PDF_42256_2021_431_MOESM2_ESM_pdf.pdf,1273589,cd36fa3b4c2b4dc4eaf9e8d2b7dc7f088d11e1163b7f1c3c2b8083fe1be8bbcf,already_exists,
2022,4,1,s42256-021-00431-x,https://www.nature.com/articles/s42256-021-00431-x,10.1038/s42256-021-00431-x,Hierarchical deep reinforcement learning reveals a modular mechanism of cell movement,2022/01,2022/01/10,,Supplementary Video 1 (download MOV ),video,False,video/movie supplement,https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-021-00431-x/MediaObjects/42256_2021_431_MOESM3_ESM.mov,42256_2021_431_MOESM3_ESM.mov,03_video_Supplementary_Video_1_download_MOV_42256_2021_431_MOESM3_ESM_mov.mov,2022/s42256-021-00431-x/03_video_Supplementary_Video_1_download_MOV_42256_2021_431_MOESM3_ESM_mov.mov,/Users/mccomb/Library/Caches/Codex/NMI_supplementary_materials_2022_2025/downloads/2022/s42256-021-00431-x/03_video_Supplementary_Video_1_download_MOV_42256_2021_431_MOESM3_ESM_mov.mov,1055020,e1f9c2d0c81deb9464602d5b48552684fba9d9d8e438dd503fa4801502141b3d,already_exists,
